"name_key","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
1,16,2,24,45,26,20,12,25,21,29
2,7,11,31,47,5,23,43,30,50,22
3,15,6,18,38,41,20,4,26,39,49
4,16,2,32,12,38,6,19,42,29,31
5,24,25,26,15,16,4,36,23,34,14
6,28,45,41,10,7,35,13,29,20,48
7,34,31,6,49,36,1,20,25,11,42
8,33,37,38,23,40,46,48,21,1,25
9,16,31,47,38,43,41,15,9,18,29
10,19,9,11,21,46,17,49,23,30,35
11,27,24,32,39,7,12,31,6,47,20
12,32,21,27,9,40,8,2,4,41,5
13,49,5,26,50,39,29,33,1,7,31
14,49,16,18,3,12,43,32,22,48,50
15,42,21,45,50,6,1,24,29,14,23
16,20,33,28,5,45,16,1,7,24,29
17,33,19,49,39,25,3,17,40,13,20
18,38,36,17,18,2,4,29,50,24,27
19,34,25,43,29,21,47,13,6,32,11
20,17,31,14,15,46,5,40,1,38,41
21,48,27,33,46,26,39,28,8,36,5
22,20,36,13,40,33,26,32,17,19,45
23,40,27,32,1,46,26,31,16,42,6
24,12,48,10,30,32,3,13,49,37,2
25,33,21,22,47,2,14,1,50,19,30
26,26,19,35,36,37,41,47,5,42,30
27,9,11,36,34,2,31,17,5,25,48
28,40,33,13,25,39,7,27,45,47,6
29,12,49,25,27,35,6,10,37,21,33
30,45,6,39,34,19,20,25,44,14,11
31,42,38,2,9,16,37,30,27,29,24
32,23,41,37,30,20,3,13,45,35,12
33,5,41,11,8,4,47,30,18,13,40
34,12,37,46,47,41,36,33,34,6,43
35,24,26,3,16,46,44,31,13,2,34
36,14,7,30,42,17,4,49,6,19,21
37,5,11,44,33,28,39,12,13,37,25
38,5,48,39,26,11,10,4,20,45,47
39,15,10,37,39,2,3,11,48,49,21
40,9,43,24,18,2,6,15,23,7,8
41,39,26,16,43,13,49,31,27,33,50
42,26,14,37,35,20,17,27,7,11,42
43,3,10,24,45,14,42,16,1,48,21
44,34,40,33,39,2,42,21,24,50,20
45,25,4,36,18,29,1,19,7,46,13
46,20,24,12,4,41,30,36,28,32,46
47,30,43,7,26,46,36,33,18,42,11
48,2,13,21,40,36,23,49,14,6,4
49,38,14,16,37,18,43,47,15,40,24
50,45,12,18,22,30,1,50,27,21,5
51,23,17,18,38,12,22,20,50,10,46
52,26,3,45,7,39,5,21,13,2,30
53,8,6,10,5,11,24,36,3,32,42
54,34,25,33,35,48,47,14,7,22,19
55,50,8,3,1,33,36,15,23,17,6
56,31,35,14,29,13,11,36,43,39,33
57,23,34,16,47,20,1,18,31,5,39
58,39,49,10,6,44,24,2,21,37,32
59,48,1,50,25,15,2,44,41,19,30
60,8,22,16,48,21,13,41,49,11,18
61,35,20,17,14,3,21,39,40,34,13
62,22,26,18,32,31,5,2,19,48,42
63,27,50,30,17,20,25,46,40,4,14
64,6,17,37,4,27,23,29,24,44,19
65,32,39,17,10,25,43,37,21,16,41
66,8,34,41,42,36,45,30,5,10,43
67,6,19,7,31,50,10,41,39,29,13
68,31,38,46,22,43,33,48,25,12,9
69,34,21,12,48,26,44,9,39,33,8
70,5,8,40,18,24,16,41,29,26,19
71,19,15,27,45,22,30,1,25,6,35
72,23,16,29,31,28,2,20,44,26,50
73,46,4,21,16,43,2,34,22,15,26
74,20,26,7,10,16,13,5,22,24,27
75,33,49,39,2,36,8,47,35,24,40
